claim_id,claim_text,verdict,confidence,category,source,icd10,severity
GT082,ESR elevation is non-specific but suggests inflammatory process.,verified,0.88,immunology,Harrison's Principles of Internal Medicine,R79,low
GT083,ANA positivity is associated with systemic lupus erythematosus.,verified,0.90,immunology,ACR SLE Guidelines,M32,medium
GT084,Rheumatoid factor positivity confirms rheumatoid arthritis diagnosis.,refuted,0.89,immunology,ACR RA Guidelines,M05,medium
GT085,Procalcitonin above 0.5 ng/mL suggests bacterial infection.,verified,0.90,immunology,Harrison's Principles of Internal Medicine,R65,medium
GT086,HIV RNA viral load below 200 copies/mL indicates viral suppression.,verified,0.92,infectious_disease,WHO HIV Treatment Guidelines,B20,high
GT087,CD4 count below 200 cells/mm3 defines AIDS.,verified,0.93,infectious_disease,WHO HIV Treatment Guidelines,B24,critical
GT088,Malaria is diagnosed by peripheral blood smear or RDT.,verified,0.92,infectious_disease,WHO Malaria Treatment Guidelines,B54,high
GT089,Antibiotic treatment is indicated for all viral respiratory infections.,refuted,0.93,infectious_disease,WHO Antimicrobial Resistance Report,J06,high
GT090,Rifampicin is a first-line drug for tuberculosis treatment.,verified,0.93,infectious_disease,WHO TB Treatment Guidelines,A15,high
GT091,SpO2 below 94% on room air requires oxygen supplementation.,verified,0.92,pulmonology,WHO Oxygen Therapy Guidelines,R09,high
GT092,FEV1/FVC ratio below 0.7 confirms obstructive lung disease.,verified,0.91,pulmonology,GOLD COPD Guidelines 2023,J44,high
GT093,Bronchodilators are the cornerstone of COPD management.,verified,0.92,pulmonology,GOLD COPD Guidelines 2023,J44,medium
GT094,Pulmonary embolism is diagnosed by CT pulmonary angiography.,verified,0.92,pulmonology,ESC PE Guidelines 2019,I26,critical
GT095,D-dimer elevation is specific for pulmonary embolism diagnosis.,refuted,0.91,pulmonology,ESC PE Guidelines 2019,I26,high
GT096,Asthma is characterized by reversible airway obstruction.,verified,0.92,pulmonology,GINA Asthma Guidelines 2023,J45,medium
GT097,Inhaled corticosteroids are first-line controller therapy for persistent asthma.,verified,0.92,pulmonology,GINA Asthma Guidelines 2023,J45,medium
GT098,Uric acid above 7 mg/dL in males is associated with gout.,verified,0.91,rheumatology,ACR Gout Guidelines,M10,medium
GT099,Joint space narrowing on X-ray indicates cartilage loss in osteoarthritis.,verified,0.90,rheumatology,ACR OA Guidelines,M17,medium
GT100,NSAIDs are contraindicated in all patients with joint pain.,refuted,0.90,rheumatology,ACR Pain Management Guidelines,M79,medium
GT101,INR above 3.0 in a patient on warfarin indicates supratherapeutic anticoagulation.,verified,0.91,hematology,ACC Anticoagulation Guidelines,Z79,high
GT102,PT-INR of 1.0 is elevated and indicates bleeding risk.,refuted,0.92,hematology,ACC Anticoagulation Guidelines,Z79,medium
GT103,Serum potassium below 3.5 mEq/L defines hypokalemia.,verified,0.92,nephrology,Harrison's Principles of Internal Medicine,E87,medium
GT104,Magnesium below 1.7 mg/dL defines hypomagnesemia.,verified,0.89,nephrology,Harrison's Principles of Internal Medicine,E83,medium
GT105,BNP above 100 pg/mL suggests heart failure.,verified,0.91,cardiology,ACC Heart Failure Guidelines,I50,high
GT106,Ejection fraction below 40% defines heart failure with reduced ejection fraction.,verified,0.92,cardiology,ACC Heart Failure Guidelines,I50,high
GT107,Digoxin toxicity can cause life-threatening arrhythmias.,verified,0.92,cardiology,Harrison's Principles of Internal Medicine,T46,critical
GT108,QTc prolongation above 500ms increases risk of torsades de pointes.,verified,0.91,cardiology,Harrison's Principles of Internal Medicine,I49,critical
GT109,Warfarin dose should never be adjusted based on INR.,refuted,0.93,hematology,ACC Anticoagulation Guidelines,Z79,high
GT110,Hypoglycemia is defined as blood glucose below 70 mg/dL.,verified,0.92,diabetes,ADA Standards of Care 2024,E16,high
GT111,Severe hypoglycemia requires glucagon administration.,verified,0.92,diabetes,ADA Standards of Care 2024,E16,critical
GT112,Sulfonylureas can cause hypoglycemia as a side effect.,verified,0.91,diabetes,ADA Standards of Care 2024,E11,medium
GT113,SGLT2 inhibitors reduce cardiovascular mortality in diabetics.,verified,0.91,diabetes,ADA Standards of Care 2024,E11,high
GT114,GLP-1 receptor agonists promote weight loss in obese diabetics.,verified,0.90,diabetes,ADA Standards of Care 2024,E11,medium
GT115,Microalbuminuria is an early sign of diabetic nephropathy.,verified,0.91,diabetes,KDIGO CKD Guidelines 2012,N08,medium
GT116,Diabetic retinopathy is the leading cause of blindness in working-age adults.,verified,0.92,diabetes,WHO Diabetes Complications Report,H36,high
GT117,All diabetic patients should have annual eye examination.,verified,0.91,diabetes,ADA Standards of Care 2024,E11,medium
GT118,Peripheral neuropathy is a common complication of long-standing diabetes.,verified,0.91,diabetes,ADA Standards of Care 2024,E11,medium
GT119,Foot ulcers in diabetics require urgent assessment to prevent amputation.,verified,0.92,diabetes,ADA Standards of Care 2024,E11,critical
GT120,Pancreatic beta cell function is preserved in type 2 diabetes.,refuted,0.89,diabetes,ADA Standards of Care 2024,E11,medium
GT121,Serum ferritin is elevated in iron deficiency anemia.,refuted,0.91,anemia,WHO Iron Deficiency Guidelines,D50,medium
GT122,Transferrin saturation below 20% suggests iron deficiency.,verified,0.90,anemia,WHO Iron Deficiency Guidelines,D50,medium
GT123,Folate deficiency causes microcytic anemia.,refuted,0.91,anemia,Harrison's Principles of Internal Medicine,D52,medium
GT124,Thalassemia is a genetic disorder affecting hemoglobin synthesis.,verified,0.92,anemia,WHO Thalassemia Report,D56,high
GT125,Bone marrow biopsy is indicated for unexplained pancytopenia.,verified,0.90,hematology,Harrison's Principles of Internal Medicine,D61,high
GT126,Streptokinase is used as thrombolytic therapy in STEMI.,verified,0.90,cardiology,WHO Essential Medicines List,I21,critical
GT127,Heparin is used for anticoagulation in acute coronary syndrome.,verified,0.91,cardiology,ACC/AHA ACS Guidelines,I24,critical
GT128,Cardiac biomarkers are normal in stable angina.,verified,0.90,cardiology,ACC/AHA ACS Guidelines,I20,medium
GT129,Chest pain radiating to left arm is a classic symptom of myocardial infarction.,verified,0.91,cardiology,ACC/AHA MI Guidelines,I21,critical
GT130,ECG is normal in all cases of myocardial infarction.,refuted,0.93,cardiology,ACC/AHA MI Guidelines,I21,critical
GT131,Oxygen therapy should be given to all MI patients regardless of SpO2.,refuted,0.90,cardiology,ACC/AHA MI Guidelines,I21,high
GT132,Morphine is routinely recommended for all chest pain in ACS.,refuted,0.89,cardiology,ACC/AHA ACS Guidelines,I24,high
GT133,Coronary artery disease is the leading cause of death globally.,verified,0.93,cardiology,WHO Cardiovascular Disease Report,I25,high
GT134,Exercise stress test is used to evaluate suspected coronary artery disease.,verified,0.90,cardiology,ACC/AHA CAD Guidelines,I25,medium
GT135,Atrial fibrillation increases risk of stroke fivefold.,verified,0.92,cardiology,ESC AF Guidelines 2020,I48,high
GT136,CHA2DS2-VASc score guides anticoagulation in atrial fibrillation.,verified,0.91,cardiology,ESC AF Guidelines 2020,I48,high
GT137,Rate control is preferred over rhythm control in all AF patients.,refuted,0.89,cardiology,ESC AF Guidelines 2020,I48,medium
GT138,Stroke is classified as hemorrhagic or ischemic.,verified,0.93,neurology,AHA Stroke Guidelines 2019,I63,critical
GT139,tPA is indicated for ischemic stroke within 4.5 hours of symptom onset.,verified,0.92,neurology,AHA Stroke Guidelines 2019,I63,critical
GT140,CT head without contrast is the first investigation in suspected stroke.,verified,0.93,neurology,AHA Stroke Guidelines 2019,I63,critical
GT141,All strokes are hemorrhagic and contraindicate tPA.,refuted,0.94,neurology,AHA Stroke Guidelines 2019,I63,critical
GT142,NIHSS score quantifies stroke severity.,verified,0.90,neurology,AHA Stroke Guidelines 2019,I63,high
GT143,Seizure is always caused by epilepsy.,refuted,0.91,neurology,WHO Epilepsy Guidelines,G40,medium
GT144,Levetiracetam is a commonly used antiepileptic drug.,verified,0.90,neurology,WHO Epilepsy Guidelines,G40,medium
GT145,Lumbar puncture is contraindicated when there is raised intracranial pressure.,verified,0.91,neurology,Harrison's Principles of Internal Medicine,G93,critical
GT146,Multiple sclerosis is a demyelinating disease of the CNS.,verified,0.92,neurology,WHO MS Guidelines,G35,high
GT147,MRI is the investigation of choice for multiple sclerosis diagnosis.,verified,0.92,neurology,WHO MS Guidelines,G35,high
GT148,Parkinson disease is characterized by dopamine deficiency in substantia nigra.,verified,0.92,neurology,WHO Parkinson Guidelines,G20,high
GT149,Levodopa is the most effective treatment for motor symptoms of Parkinson disease.,verified,0.91,neurology,WHO Parkinson Guidelines,G20,medium
GT150,Alzheimer disease is the most common cause of dementia.,verified,0.92,neurology,WHO Dementia Report 2021,F00,high
GT151,GCS score of 15 indicates deep coma.,refuted,0.93,neurology,Harrison's Principles of Internal Medicine,R40,critical
GT152,GCS score below 8 indicates severe brain injury.,verified,0.92,neurology,Harrison's Principles of Internal Medicine,R40,critical
GT153,Peptic ulcer disease is associated with H. pylori infection.,verified,0.92,gastroenterology,WHO H. pylori Guidelines,K25,high
GT154,PPIs are first-line treatment for GERD.,verified,0.91,gastroenterology,ACG GERD Guidelines,K21,medium
GT155,Colonoscopy is recommended every 10 years for colorectal cancer screening from age 45.,verified,0.91,gastroenterology,ACG Colorectal Screening Guidelines,Z12,medium
GT156,Inflammatory bowel disease includes Crohn disease and ulcerative colitis.,verified,0.92,gastroenterology,ECCO IBD Guidelines,K51,medium
GT157,Hepatitis C can be cured with direct-acting antiviral agents.,verified,0.93,hepatology,AASLD Hepatitis C Guidelines,B17,high
GT158,Liver cirrhosis can be reversed with medication in all patients.,refuted,0.92,hepatology,AASLD Liver Guidelines,K74,high
GT159,Ascites in cirrhosis is managed with sodium restriction and diuretics.,verified,0.91,hepatology,AASLD Liver Guidelines,K74,medium
GT160,Liver transplantation is the definitive treatment for end-stage liver disease.,verified,0.91,hepatology,AASLD Liver Guidelines,K74,critical
GT161,Osteoporosis is defined by T-score of -2.5 or below on DEXA scan.,verified,0.92,rheumatology,WHO Osteoporosis Guidelines,M81,medium
GT162,Bisphosphonates reduce fracture risk in osteoporosis.,verified,0.91,rheumatology,WHO Osteoporosis Guidelines,M81,medium
GT163,Calcium and vitamin D supplementation supports bone health.,verified,0.90,rheumatology,WHO Osteoporosis Guidelines,M81,low
GT164,Osteoporosis only affects women.,refuted,0.91,rheumatology,WHO Osteoporosis Guidelines,M81,medium
GT165,Gout attacks are precipitated by hyperuricemia.,verified,0.91,rheumatology,ACR Gout Guidelines,M10,medium
GT166,Colchicine is used for acute gout attacks.,verified,0.90,rheumatology,ACR Gout Guidelines,M10,medium
GT167,Allopurinol reduces uric acid production.,verified,0.91,rheumatology,ACR Gout Guidelines,M10,medium
GT168,Appendicitis typically presents with periumbilical pain migrating to right iliac fossa.,verified,0.92,surgery,Harrison's Principles of Internal Medicine,K37,high
GT169,Appendicitis is always managed conservatively without surgery.,refuted,0.93,surgery,Harrison's Principles of Internal Medicine,K37,critical
GT170,Murphy's sign is positive in cholecystitis.,verified,0.90,surgery,Harrison's Principles of Internal Medicine,K81,medium
GT171,Renal calculi typically present with colicky loin-to-groin pain.,verified,0.91,urology,EAU Urolithiasis Guidelines,N20,high
GT172,Small renal stones below 5mm often pass spontaneously.,verified,0.90,urology,EAU Urolithiasis Guidelines,N20,medium
GT173,Benign prostatic hyperplasia is treated with alpha blockers as first line.,verified,0.90,urology,AUA BPH Guidelines,N40,medium
GT174,Eclampsia is characterized by seizures in a hypertensive pregnant woman.,verified,0.92,obstetrics,WHO Pregnancy Complications Guidelines,O15,critical
GT175,Pre-eclampsia is defined by hypertension and proteinuria after 20 weeks gestation.,verified,0.92,obstetrics,WHO Pregnancy Complications Guidelines,O14,critical
GT176,Gestational diabetes increases risk of type 2 diabetes later in life.,verified,0.91,obstetrics,ADA Gestational Diabetes Guidelines,O24,high
GT177,Folic acid supplementation prevents neural tube defects.,verified,0.93,obstetrics,WHO Folic Acid Guidelines,O35,high
GT178,Premature rupture of membranes before 37 weeks requires immediate delivery.,refuted,0.89,obstetrics,WHO Preterm Birth Guidelines,O42,high
GT179,Group B streptococcus screening is recommended at 35-37 weeks gestation.,verified,0.90,obstetrics,ACOG GBS Guidelines,O99,medium
GT180,Childhood vaccination prevents measles mumps and rubella.,verified,0.94,pediatrics,WHO Immunization Schedule,Z23,high
GT181,MMR vaccine causes autism.,refuted,0.98,pediatrics,WHO Vaccine Safety Advisory,Z23,critical
GT182,Oral rehydration therapy is first-line treatment for childhood diarrhea.,verified,0.93,pediatrics,WHO Diarrhea Management Guidelines,A09,high
GT183,Zinc supplementation reduces duration of childhood diarrhea.,verified,0.90,pediatrics,WHO Diarrhea Management Guidelines,A09,medium
GT184,Exclusive breastfeeding is recommended for the first 6 months of life.,verified,0.93,pediatrics,WHO Breastfeeding Guidelines,Z39,high
GT185,Penicillin allergy prevents use of all antibiotics.,refuted,0.91,pharmacology,Harrison's Principles of Internal Medicine,Z88,medium
GT186,Aminoglycosides are nephrotoxic and ototoxic.,verified,0.91,pharmacology,Harrison's Principles of Internal Medicine,T36,high
GT187,Fluoroquinolones should be avoided in children under 18.,verified,0.90,pharmacology,WHO Essential Medicines Guidelines,J01,medium
GT188,Corticosteroids suppress the immune system.,verified,0.92,pharmacology,Harrison's Principles of Internal Medicine,H02,medium
GT189,NSAIDs increase risk of gastrointestinal bleeding.,verified,0.91,pharmacology,WHO Drug Safety Guidelines,M01,medium
GT190,ACE inhibitors are contraindicated in pregnancy.,verified,0.92,pharmacology,WHO Drug Safety in Pregnancy,O99,critical
GT191,Statins are safe to use in pregnancy.,refuted,0.91,pharmacology,WHO Drug Safety in Pregnancy,O99,high
GT192,Methotrexate is teratogenic and contraindicated in pregnancy.,verified,0.92,pharmacology,WHO Drug Safety in Pregnancy,O99,critical
GT193,Insulin dose should never be adjusted in type 1 diabetics.,refuted,0.93,diabetes,ADA Standards of Care 2024,E10,critical
GT194,Continuous glucose monitoring improves glycemic control in type 1 diabetes.,verified,0.91,diabetes,ADA Standards of Care 2024,E10,medium
GT195,Depression is associated with increased cardiovascular mortality.,verified,0.90,psychiatry,WHO Mental Health Report 2022,F32,high
GT196,SSRIs are first-line pharmacological treatment for major depression.,verified,0.91,psychiatry,WHO Mental Health Guidelines,F32,medium
GT197,Lithium is used for mood stabilization in bipolar disorder.,verified,0.91,psychiatry,WHO Mental Health Guidelines,F31,medium
GT198,Schizophrenia is caused exclusively by dopamine excess.,refuted,0.89,psychiatry,WHO Mental Health Guidelines,F20,medium
GT199,Antipsychotics treat positive symptoms of schizophrenia.,verified,0.91,psychiatry,WHO Mental Health Guidelines,F20,medium
GT200,Cognitive behavioral therapy is effective for anxiety disorders.,verified,0.91,psychiatry,WHO Mental Health Guidelines,F41,medium
GT201,Elevated ACTH with low cortisol suggests primary adrenal insufficiency.,verified,0.90,endocrinology,Endocrine Society Guidelines,E27,high
GT202,Cushing syndrome is caused by excess cortisol.,verified,0.92,endocrinology,Endocrine Society Guidelines,E24,high
GT203,Addison disease presents with hyperpigmentation and hypotension.,verified,0.91,endocrinology,Endocrine Society Guidelines,E27,high
GT204,Pheochromocytoma causes episodic hypertension.,verified,0.91,endocrinology,Endocrine Society Guidelines,D35,high
GT205,Growth hormone deficiency in adults causes no clinical symptoms.,refuted,0.89,endocrinology,Endocrine Society Guidelines,E23,medium
